p0 p1 p2 Mean SD
Abs_Error_Afr_Freq 0 0.5 0.9 0.0489019948629824 0.0190126000010005
Abs_Error_Eur_Freq 0 0.5 0.9 -0.00284025406449893 0.0210698319160749
Abs_Error_NA_Freq 0 0.5 0.9 -0.046107884293024 0.0216971083245243
Rel_Error_Afr_Freq 0 0.5 0.9 Inf NA
Rel_Error_Eur_Freq 0 0.5 0.9 -0.526133765003435 4.23994017747259
Rel_Error_NA_Freq 0 0.5 0.9 -5.12212463602353 2.40960872568908
Number_Ind_Double_Het 0 0.5 0.9 105.5762 7.9853206967113
Abs_Error_Afr_Freq 0.1 0.5 0.8 0.0383541880074675 0.0230351300147562
Abs_Error_Eur_Freq 0.1 0.5 0.8 -0.0029401193555343 0.0265504790848481
Abs_Error_NA_Freq 0.1 0.5 0.8 -0.0354855129686959 0.0248978125088477
Rel_Error_Afr_Freq 0.1 0.5 0.8 41.3140679602004 28.1656249518913
Rel_Error_Eur_Freq 0.1 0.5 0.8 -0.548358373120181 5.35932583989253
Rel_Error_NA_Freq 0.1 0.5 0.8 -4.43102526771538 3.11297737556396
Number_Ind_Double_Het 0.1 0.5 0.8 96.7782 7.68411438506589
Abs_Error_Afr_Freq 0.4 0.5 0.6 0.0107193310860672 0.033796882329322
Abs_Error_Eur_Freq 0.4 0.5 0.6 4.93671703582404e-05 0.0346538753255596
Abs_Error_NA_Freq 0.4 0.5 0.6 -0.0107444369395896 0.0343851475198267
Rel_Error_Afr_Freq 0.4 0.5 0.6 2.77811456455708 8.57401475755961
Rel_Error_Eur_Freq 0.4 0.5 0.6 0.0588457943060974 6.98620404020502
Rel_Error_NA_Freq 0.4 0.5 0.6 -1.76697678657162 5.76941528074558
Number_Ind_Double_Het 0.4 0.5 0.6 84.4402 7.39065276614062
Abs_Error_Afr_Freq 0.48 0.5 0.52 0.00137991352082239 0.0354173982452216
Abs_Error_Eur_Freq 0.48 0.5 0.52 0.00156529898134428 0.0355951294248493
Abs_Error_NA_Freq 0.48 0.5 0.52 -0.00289054955961895 0.0359849233560556
Rel_Error_Afr_Freq 0.48 0.5 0.52 0.342528441773365 7.41431659747378
Rel_Error_Eur_Freq 0.48 0.5 0.52 0.355041052728552 7.13738996369874
Rel_Error_NA_Freq 0.48 0.5 0.52 -0.515477985279301 6.95365044721151
Number_Ind_Double_Het 0.48 0.5 0.52 83.2602 7.48388252577042
Abs_Error_Afr_Freq 0.1 0.6 0.6 0.0353106510729191 0.0230331511394955
Abs_Error_Eur_Freq 0.1 0.6 0.6 -0.0171429420301747 0.0282707350397187
Abs_Error_NA_Freq 0.1 0.6 0.6 -0.0181976930534813 0.0283388677899698
Rel_Error_Afr_Freq 0.1 0.6 0.6 37.8158798261609 27.480187110243
Rel_Error_Eur_Freq 0.1 0.6 0.6 -2.84793086818795 4.7408883202451
Rel_Error_NA_Freq 0.1 0.6 0.6 -3.01589676146523 4.73695749486077
Number_Ind_Double_Het 0.1 0.6 0.6 91.1464 7.65845267789022
Abs_Error_Afr_Freq 0.4 0.5 0.5 0.00678541361106453 0.0348670158200559
Abs_Error_Eur_Freq 0.4 0.5 0.5 -0.00376733644890895 0.0351838675674532
Abs_Error_NA_Freq 0.4 0.5 0.5 -0.00308001707496261 0.0350629053164222
Rel_Error_Afr_Freq 0.4 0.5 0.5 1.77355259740508 8.82480077310653
Rel_Error_Eur_Freq 0.4 0.5 0.5 -0.71737540700494 7.11393624579519
Rel_Error_NA_Freq 0.4 0.5 0.5 -0.584679713726646 7.09228646295204
Number_Ind_Double_Het 0.4 0.5 0.5 83.3718 7.4248360519327
