p0 p1 p2 Mean SD
Abs_Error_Afr_Freq 0 0.5 0.9 1.24693006827539e-09 1.11047031215449e-09
Abs_Error_Eur_Freq 0 0.5 0.9 4.97442394678488e-05 0.0108818253775148
Abs_Error_NA_Freq 0 0.5 0.9 -8.62956501245356e-05 0.0108701377817738
Rel_Error_Afr_Freq 0 0.5 0.9 Inf NA
Rel_Error_Eur_Freq 0 0.5 0.9 0.00983300774600439 2.18008338423541
Rel_Error_NA_Freq 0 0.5 0.9 -0.0102114894872863 1.21484230599368
Number_Ind_Double_Het 0 0.5 0.9 105.5438 7.68751592780321
Abs_Error_Afr_Freq 0.1 0.5 0.8 0.000164726232989545 0.0136648473858518
Abs_Error_Eur_Freq 0.1 0.5 0.8 0.000350811272859978 0.0193264669128253
Abs_Error_NA_Freq 0.1 0.5 0.8 -0.000483379485025854 0.0173573421252164
Rel_Error_Afr_Freq 0.1 0.5 0.8 0.18712679603916 14.0441984390504
Rel_Error_Eur_Freq 0.1 0.5 0.8 0.0774943167633879 3.90592053438396
Rel_Error_NA_Freq 0.1 0.5 0.8 -0.0624387107714371 2.18546177911241
Number_Ind_Double_Het 0.1 0.5 0.8 96.5808 7.75187007488719
Abs_Error_Afr_Freq 0.4 0.5 0.6 0.0010427001480551 0.030557133236262
Abs_Error_Eur_Freq 0.4 0.5 0.6 -0.000504136337059991 0.0310854563635934
Abs_Error_NA_Freq 0.4 0.5 0.6 -0.000562394255578798 0.0299528949459888
Rel_Error_Afr_Freq 0.4 0.5 0.6 0.277977852100609 7.70514377057349
Rel_Error_Eur_Freq 0.4 0.5 0.6 -0.109165232740881 6.28596205408118
Rel_Error_NA_Freq 0.4 0.5 0.6 -0.094356843714152 5.03711090872404
Number_Ind_Double_Het 0.4 0.5 0.6 84.4448 7.43833440521094
Abs_Error_Afr_Freq 0.48 0.5 0.52 8.52543982592127e-05 0.0316491490151912
Abs_Error_Eur_Freq 0.48 0.5 0.52 -9.04639009364555e-05 0.0320841022308384
Abs_Error_NA_Freq 0.48 0.5 0.52 5.18473293501655e-05 0.0319681013220093
Rel_Error_Afr_Freq 0.48 0.5 0.52 0.0137910268099386 6.6484785177893
Rel_Error_Eur_Freq 0.48 0.5 0.52 -0.01354130605443 6.45469697235886
Rel_Error_NA_Freq 0.48 0.5 0.52 0.0151323890197483 6.18548034069111
Number_Ind_Double_Het 0.48 0.5 0.52 83.4056 7.32684278287947
Abs_Error_Afr_Freq 0.1 0.6 0.6 0.000251238538198855 0.0149988871266382
Abs_Error_Eur_Freq 0.1 0.6 0.6 -0.000578056200325191 0.0229374379008477
Abs_Error_NA_Freq 0.1 0.6 0.6 0.000324146303214991 0.0230593102873715
Rel_Error_Afr_Freq 0.1 0.6 0.6 0.194047089286567 15.4733568155429
Rel_Error_Eur_Freq 0.1 0.6 0.6 -0.100685884255206 3.8544790829941
Rel_Error_NA_Freq 0.1 0.6 0.6 0.0518430896787954 3.86604956779569
Number_Ind_Double_Het 0.1 0.6 0.6 91.1504 7.72350376073375
Abs_Error_Afr_Freq 0.4 0.5 0.5 -4.31682304436443e-06 0.0313411988455706
Abs_Error_Eur_Freq 0.4 0.5 0.5 0.000108868086723975 0.0311131329885374
Abs_Error_NA_Freq 0.4 0.5 0.5 -0.000121514612196325 0.0314263081112283
Rel_Error_Afr_Freq 0.4 0.5 0.5 0.00780341604711106 7.93369222896621
Rel_Error_Eur_Freq 0.4 0.5 0.5 0.0206616462157385 6.31170181692881
Rel_Error_NA_Freq 0.4 0.5 0.5 -0.0124284764109653 6.35478490758371
Number_Ind_Double_Het 0.4 0.5 0.5 83.4276 7.56117666229957
